Titles	Genres
Toy Story (1995)[0.00025929954131478141, 0.00026838041778956572, 0.00024669842002368147, 0.00031362700032076059, 0.99773624942316053, 0.00027913297601302531, 0.00019990337414602815, 0.00024662320550052422, 0.00024863979241679287, 0.00020144584931436116]	animation
Jumanji (1995)[0.98885131360087164, 0.0013165206508046476, 0.0012101611852199877, 0.0015384744757951034, 0.0013159973992010049, 0.0013692665443640821, 0.00098061148572743066, 0.001209792225838403, 0.0012196844465200622, 0.00098817798565760092]	fantasy
Grumpier Old Men (1995)[0.00039754084290249774, 0.00041146303987120208, 0.9964962900333153, 0.0004808320964715174, 0.00041129950373880675, 0.00042794814832082875, 0.00030647858246919034, 0.00037810632636242712, 0.00038119802354945136, 0.00030884340299862926]	comedy
Heat (1995)[0.00028832264860968027, 0.00029841993741951106, 0.00027431109792326543, 0.9975332999450075, 0.00029830133030860621, 0.00031037601744415486, 0.00022227833496174811, 0.00027422746472273462, 0.0002764697659543607, 0.00022399345764840395]	action
Sabrina (1995)[0.0011671852491878089, 0.0012080610063037885, 0.0011104638110409392, 0.0014117294873159715, 0.0012075808620246454, 0.98985905821794451, 0.0008998252306311157, 0.0011101252478429142, 0.0011192025122701446, 0.00090676837543803685]	romance
Sudden Death (1995)[0.0010783471806119712, 0.0011161117578048936, 0.0010259429860348919, 0.99077436662522667, 0.0011156681587874615, 0.0011608283461407166, 0.00083133675752823481, 0.0010256301919258979, 0.0010340165577659259, 0.00083775143817326023]	action
GoldenEye (1995)[0.0013317576306719858, 0.0013783968436731427, 0.0012670385056424739, 0.0016107824516152641, 0.98837341906060638, 0.0014336217831031537, 0.0010267000186971527, 0.0012666522052477874, 0.001277009358214725, 0.0010346221425278918]	action
Cutthroat Island (1995)[0.00056358911487423228, 0.0005833264545885864, 0.00053620050184829428, 0.00068167017425179734, 0.00058309461128052526, 0.00060669720465266646, 0.0004344911877748476, 0.00053603702262917583, 0.00054042008643809746, 0.99493447364166188]	action
Sense and Sensibility (1995)[0.99665634211078569, 0.00039484424467452791, 0.00036294544929513543, 0.00046141151828840401, 0.00039468731368822737, 0.0004106635274859563, 0.00029410005924674753, 0.00036283479285518643, 0.0003658016178729451, 0.00029636936580713599]	romance
Four Rooms (1995)[0.00031387277851786392, 0.99725994037755084, 0.00029861957393437921, 0.00037963421574110971, 0.00032473573557618014, 0.00033788043863452203, 0.00024197585217530524, 0.00029852852945644245, 0.00030096953546564161, 0.00024384296294775262]	comedy
Ace Ventura: When Nature Calls (1995)[0.00078109096905149456, 0.0008084453969442717, 0.00074313246750346571, 0.00094474219413924639, 0.0008081240800320382, 0.00084083545085799727, 0.00060217121648831857, 0.00074290589793654031, 0.00074898048573032521, 0.99297957184131624]	comedy
City of Lost Children, The (Cité des enfants perdus, La) (1995)[0.00061230384358674562, 0.00063374721190299389, 0.00058254785188340289, 0.00074059142864364323, 0.00063349532884690119, 0.00065913805021775734, 0.0004720471301836229, 0.00058237024207588356, 0.99460806941785951, 0.00047568949479953588]	sci-fi
Twelve Monkeys (a.k.a. 12 Monkeys) (1995)[0.0013974368687129329, 0.0014463762209452852, 0.0013295259445746993, 0.0016902225551569182, 0.0014458013581988417, 0.0015043247279824437, 0.0010773345135718937, 0.0013291205927287619, 0.98769420987971146, 0.0010856473384167553]	sci-fi
Babe (1995)[0.00068647449840233596, 0.99400718640273622, 0.00065311405212559713, 0.00083030203847991044, 0.00071023298753602061, 0.00073898190765974282, 0.00052922796469291892, 0.00065291492777776693, 0.00065825367803089502, 0.00053331154255854276]	fantasy
Clueless (1995)[0.0017408572477221802, 0.0018018234551695183, 0.0016562572009276204, 0.0021055950728710582, 0.0018011073197926617, 0.0018740128189452989, 0.0013420896772962908, 0.0016557522337876545, 0.98467005959304366, 0.0013524453804441194]	romance
Mortal Kombat (1995)[0.00056358911487423271, 0.00058332645458858618, 0.0005362005018482945, 0.000681670174251623, 0.00058309461128052678, 0.00060669720465264683, 0.00043449118777484777, 0.99503266689744718, 0.00054042008643809779, 0.0004378437668439367]	action
Pocahontas (1995)[0.00027704646651530585, 0.00028674885444643952, 0.00026358290190532462, 0.00033509219415535423, 0.00028663488601165626, 0.99759291672867645, 0.00021358511924404671, 0.00026350253956543886, 0.00026565714530342194, 0.00021523316417658862]	animation
Usual Suspects, The (1995)[0.0004150083344730168, 0.00042954225690977404, 0.00039484026810083866, 0.00050195931079907784, 0.0004293715351860964, 0.00044675170223704277, 0.00031994490209748093, 0.00039471988742517135, 0.99634544817262571, 0.00032241363014586091]	comedy
Home for the Holidays (1995)[0.00076013709833344591, 0.00078675770498344924, 0.00072319688731187573, 0.00091939814769504617, 0.00078644500785214426, 0.9933956447222545, 0.00058601712135680089, 0.00072297639579424532, 0.00072888802417313541, 0.00059053889024525679]	comedy
Friday (1995)[0.00085150881469048386, 0.00088132933162694469, 0.00081012823298968778, 0.99271504736047644, 0.00088097904696880997, 0.00091663945235189055, 0.00065645887496990183, 0.00080988123745264829, 0.00081650346873807743, 0.00066152417973525915]	comedy
From Dusk Till Dawn (1996)[0.0021342212002715289, 0.0022089633266642616, 0.98119012870248679, 0.0025813751527181271, 0.0022080853733959672, 0.0022974645928072815, 0.0016453481442542943, 0.0020298858647774115, 0.0020464838214381449, 0.0016580438211862961]	action
Screamers (1995)[0.0011671852491878111, 0.0012080610063037766, 0.98971306052306851, 0.0014117294873146576, 0.0012075808620246485, 0.0012564615059183087, 0.00089982523063111613, 0.0011101252478429142, 0.0011192025122701446, 0.00090676837543803728]	sci-fi
Antonia's Line (Antonia) (1995)[0.0012173291995081013, 0.0012599610377050743, 0.0011581709271238996, 0.0014723794084189083, 0.0012594602657398873, 0.98942338883189607, 0.00093848301155587696, 0.0011578178187658895, 0.0011672850554762689, 0.00094572444380989118]	fantasy
Black Sheep (1996)[0.00072143031961434845, 0.99370202762240212, 0.00068637113318292613, 0.00087258167111991299, 0.00074639860969526889, 0.00077661144743608056, 0.00055617666877043109, 0.00068616186926673912, 0.00069177247288044802, 0.00056046818563176165]	comedy
Broken Arrow (1996)[0.99398314551901013, 0.00071051538212882825, 0.00065311405212559724, 0.00083030203847952078, 0.00071023298753601399, 0.00073898190765973252, 0.00052922796469291892, 0.00065291492777776715, 0.0006582536780308948, 0.00053331154255854287]	action
Happy Gilmore (1996)[0.002757248928840497, 0.0028538099825395217, 0.0026232555248957711, 0.0033349372941607475, 0.0028526757347410218, 0.97604399054438118, 0.002125662704380255, 0.0026224557349603275, 0.0026438990128257755, 0.0021420645382750794]	comedy
Bridges of Madison County, The (1995)[0.0023080645558182832, 0.0023888948149885696, 0.0021959000634783374, 0.0027916415104980927, 0.97985001267984084, 0.0024846049670161833, 0.0017793702608012614, 0.00219523056759685, 0.002213180513676887, 0.001793100066284941]	romance
Braveheart (1995)[0.0014699304751764784, 0.0015214086112499865, 0.0013984965956051433, 0.0017779047478136891, 0.0015208039268531607, 0.98722869451716888, 0.0011332224509843438, 0.0013980702156771102, 0.0014095019465202698, 0.0011419665129508215]	action
Birdcage, The (1996)[0.00048622176914792998, 0.99575536099852668, 0.00046259295956215321, 0.00058809311491754329, 0.00050304962603954658, 0.00052341214618586941, 0.00037484590887851933, 0.0004624519221413784, 0.00046623329581098463, 0.0003777382587894016]	comedy
Bad Boys (1995)[0.00062582744318755254, 0.00064774441873367188, 0.00059541424816638659, 0.00075694844167509517, 0.00064748697248271845, 0.00067369604975697078, 0.00048247296116308951, 0.00059523271559413669, 0.99448898097666827, 0.00048619577257217824]	action
Batman Forever (1995)[0.00031387277851786327, 0.00032486485322831489, 0.00029861957393437878, 0.00037963421574020825, 0.00032473573557618052, 0.00033788043863451417, 0.000241975852175305, 0.00029852852945644196, 0.99723604505978913, 0.00024384296294775238]	action
Congo (1995)[0.00034025602474072503, 0.0003521720617487541, 0.00032372067949466317, 0.00041154517990818761, 0.00035203209083682456, 0.00036628169996237846, 0.00026231564882181279, 0.26741704485573869, 0.72991029205517322, 0.00026433970357477178]	action
Desperado (1995)[0.00032466166524316542, 0.9971657551059685, 0.0003088841555663043, 0.0003926835491998056, 0.00033589801949048773, 0.00034949455119419445, 0.00025029339430720132, 0.00030878998157658229, 0.00031131489335631398, 0.00025222468409741077]	action
Die Hard: With a Vengeance (1995)[0.00028541841555147914, 0.00029541399580630586, 0.00027154800122355097, 0.00034521820228387205, 0.00029529658340798909, 0.99752017810570515, 0.00022003935688759887, 0.00027146521044838358, 0.00027368492529841683, 0.00022173720338721401]	action
Hackers (1995)[0.00061230384358674703, 0.00063374721190302512, 0.00058254785188340333, 0.00074059142864383069, 0.99465443258367381, 0.00065913805021777479, 0.00047204713018362328, 0.0005823702420758841, 0.00058713216303223135, 0.00047568949479953626]	action
Judge Dredd (1995)[0.0012719750706728181, 0.0013165206508046934, 0.001210161185219988, 0.0015384744757932169, 0.0013159973992010025, 0.0013692665443640719, 0.00098061148572743131, 0.0012097922258384039, 0.98879902297672084, 0.00098817798565760157]	sci-fi
Mallrats (1995)[0.002512740245396044, 0.0026007384102441689, 0.97785406657287188, 0.003039200076300493, 0.0025997047458326144, 0.002704935994443677, 0.0019371621363471873, 0.0023899003089922553, 0.0024094420292635455, 0.001952109480308314]	comedy
Net, The (1995)[0.0011671852491878089, 0.0012080610063039026, 0.0011104638110409387, 0.0014117294873156024, 0.0012075808620246474, 0.0012564615059183436, 0.00089982523063111581, 0.0011101252478429142, 0.98972179922429659, 0.00090676837543803707]	action
Nine Months (1995)[0.0014699304751764814, 0.001521408611250714, 0.0013984965956051426, 0.98742423600283413, 0.0015208039268531611, 0.0015823632621476554, 0.0011332224509843435, 0.0013980702156771094, 0.0014095019465202696, 0.0011419665129508213]	comedy
Strange Days (1995)[0.00061230384358674529, 0.00063374721190299172, 0.00058254785188340279, 0.99476152868347101, 0.00063349532884689652, 0.00065913805021775929, 0.00047204713018362285, 0.00058237024207588345, 0.00058713216303223038, 0.00047568949479953582]	sci-fi
Under Siege 2: Dark Territory (1995)[0.0010783471806119719, 0.0011161117578048791, 0.0010259429860348895, 0.0013042784026722762, 0.0011156681587874576, 0.001160828346140665, 0.00083133675752823481, 0.0010256301919258973, 0.99050410478032047, 0.00083775143817326023]	action
Walk in the Clouds, A (1995)[0.001217329199508108, 0.0012599610377050851, 0.0011581709271239005, 0.0014723794084209524, 0.0012594602657399019, 0.0013104408921177204, 0.98905143095133219, 0.0011578178187658904, 0.0011672850554762695, 0.00094572444380989118]	romance
Waterworld (1995)[0.0010783471806119671, 0.0011161117578048819, 0.0010259429860348893, 0.001304278402671454, 0.99058575638134272, 0.0011608283461406726, 0.0008313367575282346, 0.0010256301919258971, 0.0010340165577659253, 0.00083775143817326001]	sci-fi
Before Sunrise (1995)[0.0011671852491878117, 0.0012080610063037762, 0.0011104638110409392, 0.0014117294873160027, 0.98981017757405088, 0.001256461505918315, 0.00089982523063111591, 0.0011101252478429144, 0.0011192025122701453, 0.00090676837543803717]	romance
Billy Madison (1995)[0.0004211770138004384, 0.99632319140618852, 0.00040070916951112049, 0.00050942042848381181, 0.00043575370897122845, 0.00045339221463440844, 0.00032470055960973055, 0.00040058699949841175, 0.00040386251649762018, 0.00032720598280471864]	comedy
Clerks (1994)[0.0015503569843202047, 0.98646562918525027, 0.0014750146358344974, 0.0018751819149117079, 0.0016040139514049763, 0.0016689414748733711, 0.0011952261493599606, 0.0014745649267424257, 0.0014866221390084919, 0.0012044486382939556]	comedy
Don Juan DeMarco (1995)[0.0021342212002715371, 0.0022089633266604543, 0.0020305049342484835, 0.0025813751527237355, 0.002208085373395998, 0.0022974645928073301, 0.0016453481442542943, 0.0020298858647774137, 0.98120610758967453, 0.0016580438211862961]	fantasy
Dumb & Dumber (Dumb and Dumber) (1994)[0.00052205459226479286, 0.00054033735991417811, 0.00049668442306068095, 0.00063143349558399153, 0.99544233137324956, 0.00056198576843310597, 0.00040247072537421332, 0.00049653299168128033, 0.00050059303920392941, 0.00040557623123434558]	comedy
Exotica (1994)[0.00090595887196419432, 0.99209112259944843, 0.00086193219311824182, 0.0010957719477154217, 0.0009373135895323156, 0.0009752543131951913, 0.00069843638914623952, 0.00086166940335698965, 0.00086871509575820599, 0.00070382559676477263]	romance
French Kiss (1995)[0.0013974368687129314, 0.0014463762209452817, 0.0013295259445746997, 0.0016902225551557841, 0.0014458013581988276, 0.98785854607092183, 0.0010773345135718939, 0.0013291205927287626, 0.0013399885367732017, 0.0010856473384167555]	comedy
Heavenly Creatures (1994)[0.0010783471806119691, 0.0011161117578048819, 0.0010259429860348902, 0.0013042784026723146, 0.0011156681587874563, 0.0011608283461406927, 0.00083133675752823481, 0.0010256301919258977, 0.0010340165577659257, 0.99030783966072777]	romance
I.Q. (1994)[0.0017408572477221726, 0.0018018234551695138, 0.00165625720092762, 0.0021055950728683698, 0.0018011073197926521, 0.0018740128189453078, 0.0013420896772962908, 0.0016557522337876537, 0.001669290977169333, 0.98435321399632103]	romance
Interview with the Vampire: The Vampire Chronicles (1994)[0.00048622176914793079, 0.00050324964279010954, 0.00046259295956215451, 0.00058809311491746718, 0.99575516098177619, 0.00052341214618586431, 0.00037484590887851971, 0.00046245192214137894, 0.00046623329581098506, 0.00037773825878940204]	fantasy
Star Wars: Episode IV - A New Hope (1977)[0.00085150881469048603, 0.00088132933162694686, 0.00081012823298968789, 0.001029913720417756, 0.99256611268702721, 0.0009166394523519156, 0.00065645887496990183, 0.00080988123745264862, 0.00081650346873808058, 0.00066152417973525915]	sci-fi
Little Women (1994)[0.00074027809083574943, 0.00076620321922503431, 0.00070430296351980514, 0.00089537835606959845, 0.0007658986914814552, 0.00079690085653245848, 0.00057070709579388795, 0.00070408823246658511, 0.99348113176313824, 0.00057511073093718707]	romance
Major Payne (1995)[0.99701770278151636, 0.00035217206174875199, 0.00032372067949466301, 0.00041154517990807751, 0.00035203209083682212, 0.00036628169996236654, 0.00026231564882181268, 0.0003236219820788384, 0.00032626817205740359, 0.00026433970357477168]	comedy
Milk Money (1994)[0.00044083470023411573, 0.00045627308257110922, 0.99611472139165946, 0.00053319671901732549, 0.00045609173667121187, 0.0004745534881482092, 0.00033985537949900353, 0.00041928368371318324, 0.00042271207963020543, 0.00034247773885607305]	comedy
Pulp Fiction (1994)[0.0004624171987980528, 0.00047861141742570342, 0.00043994521454540381, 0.00055930110103743558, 0.99596298090150137, 0.00049778679979773776, 0.00035649410652318801, 0.00043981108207092668, 0.00044340732627647171, 0.00035924485202369866]	action
Swan Princess, The (1994)[0.0023080645558182906, 0.0023888948149885856, 0.0021959000634783387, 0.0027916415104983017, 0.9798500126798404, 0.0024846049670162349, 0.001779370260801261, 0.0021952305675968496, 0.0022131805136768406, 0.0017931000662849404]	animation
Stargate (1994)[0.0019847312964619362, 0.0020542381673473165, 0.98250765185827682, 0.002400564689763698, 0.0020534217096528171, 0.0021365404294913615, 0.0015301009825324555, 0.0018877040503378288, 0.0019031394157243619, 0.0015419074004114964]	sci-fi
