Titles	Genres
Toy Story (1995)[0.0011145871446794685, 0.0011154799280798074, 0.99443217583924071, 0.0011138708766752165, 0.0011111375527596888, 0.0011127486585652217]	animation
Jumanji (1995)[0.004947403627479488, 0.0049647515693304351, 0.0049578773387142609, 0.0049453080049694127, 0.004939817617430356, 0.97524484184207605]	fantasy
Grumpier Old Men (1995)[0.0016653022274502923, 0.9916827558954826, 0.0016660674001897227, 0.0016623812253981024, 0.0016609990944962917, 0.0016624941569831186]	comedy
Heat (1995)[0.97091415494070932, 0.024099729881401986, 0.0012483939175977679, 0.0012457168567347682, 0.001244900145040998, 0.0012471042585151749]	action
Sabrina (1995)[0.0054264354916586039, 0.0054338437432076697, 0.0054268505940128888, 0.97288600642117062, 0.0054109673858883864, 0.0054158963640618127]	romance
Sudden Death (1995)[0.0043221306533822333, 0.0043223478773465763, 0.16798720671139422, 0.0043215861054726346, 0.81473443482987318, 0.0043122938225312098]	action
GoldenEye (1995)[0.0051001324203580811, 0.0051091939279960001, 0.0051116129119166574, 0.34773937550306011, 0.63184583125884064, 0.0050938539778283059]	action
Cutthroat Island (1995)[0.0024350480520342068, 0.61130832542678692, 0.002440795267798565, 0.002435539972973915, 0.37895004014502476, 0.0024302511353818143]	action
Sense and Sensibility (1995)[0.0015734772933842147, 0.001571929368065808, 0.99214759039006761, 0.0015685897361681408, 0.0015681726328062458, 0.0015702405795079519]	romance
Four Rooms (1995)[0.0012533063880392401, 0.097667539739909895, 0.89731808968726723, 0.0012545676880289112, 0.0012523234071927433, 0.0012541730895620331]	comedy
Ace Ventura: When Nature Calls (1995)[0.71599822204597474, 0.0035035497009671878, 0.0035058517283784122, 0.003499824767568019, 0.26999254390950694, 0.0035000078476045992]	comedy
City of Lost Children, The (Cité des enfants perdus, La) (1995)[0.0026282255959338041, 0.0026262111715780953, 0.98687094495190986, 0.0026217760145354186, 0.0026316955126331407, 0.0026211467534097335]	sci-fi
Twelve Monkeys (a.k.a. 12 Monkeys) (1995)[0.0049384250904005202, 0.97528357434667823, 0.0049526309830695316, 0.0049433511846622754, 0.0049433241542449274, 0.0049386942409445876]	sci-fi
Babe (1995)[0.0026212443277635533, 0.002632134486284144, 0.0026294728578347163, 0.9868686981087742, 0.0026236702661312137, 0.0026247799532121293]	fantasy
Clueless (1995)[0.0067100743161875144, 0.96642277119389974, 0.0067320356385626948, 0.0067125464344639637, 0.0067085469970767069, 0.0067140254198092926]	romance
Mortal Kombat (1995)[0.0023362484254490054, 0.0023374774569320613, 0.59689790806640353, 0.39375151630728816, 0.0023425928019483854, 0.0023342569419789786]	action
Pocahontas (1995)[0.0012343563908347979, 0.99382386954427082, 0.0012390671260798804, 0.0012347637440858748, 0.0012341322537465511, 0.0012338109409820942]	animation
Usual Suspects, The (1995)[0.0018649091122978627, 0.44491184579943094, 0.54762383769141287, 0.0018672844990372233, 0.0018648840654369146, 0.0018672388323840126]	comedy
Home for the Holidays (1995)[0.98210506893763905, 0.0035875000119352241, 0.0035842305167498411, 0.0035755313786548634, 0.0035710022591405547, 0.0035766668958804571]	comedy
Friday (1995)[0.0032292307286374464, 0.98384559609687006, 0.0032344667844129505, 0.0032318707503083978, 0.0032264479506764975, 0.0032323876890945355]	comedy
From Dusk Till Dawn (1996)[0.0088362891338474858, 0.0088528119444382259, 0.95581394583288937, 0.0088207532488566096, 0.008833326737978181, 0.0088428731019902194]	action
Screamers (1995)[0.0050784054866890921, 0.97455356962631656, 0.005094468767622427, 0.0050915463079746039, 0.0050930471582004422, 0.0050889626531969807]	sci-fi
Antonia's Line (Antonia) (1995)[0.0051036957895138815, 0.40747479046005508, 0.005103765223481673, 0.0050917654322410674, 0.0050861254019441207, 0.5721398576927641]	fantasy
Black Sheep (1996)[0.0030632570122646804, 0.98470933249018999, 0.0030669002925384848, 0.0030593339213215139, 0.003048727956285567, 0.0030524483273995985]	comedy
Broken Arrow (1996)[0.0027590770036046413, 0.002762199684643286, 0.98620451819521115, 0.002757788595047014, 0.0027540927067782662, 0.0027623238147155929]	action
Happy Gilmore (1996)[0.0093231246104326215, 0.0093549178101114336, 0.95333377045667567, 0.0093317988466338243, 0.0093120248129995638, 0.0093443634631467775]	comedy
Bridges of Madison County, The (1995)[0.95329248515483556, 0.0093624419361435073, 0.0093448321904346949, 0.0093257147842664406, 0.0093390979821195153, 0.0093354279522000917]	romance
